state,cantidad,localidad
New Hampshire,4,"Springfield, MO"
New Hampshire,5,Nottingham
New Hampshire,3,"woodstock, Ontario, Canada"
New Hampshire,15,Somewhere over the rainbow.
New Hampshire,1,"Keene, NH"
New Hampshire,3,"Bennington, NE"
New Hampshire,3,"Dublin, Ireland"
New Hampshire,1,"Marlow, UK"
New Hampshire,4,"Troy, NY"
New Hampshire,1,Winchester | Northend Ma 
New Hampshire,1,"Littleton, NH"
New Hampshire,1,"Warsaw, Berlin, Kiev "
New Hampshire,2,"Bethlehem, PA"
New Hampshire,4,Kona coast/Boston/Milan
New Hampshire,17,"Pittsburgh, PA"
New Hampshire,6,"New Canaan, Ct"
New Hampshire,1,"Enfield, CT"
New Hampshire,1,"Hanover Twp, PA"
New Hampshire,2,"Newport Beach, CA"
New Hampshire,1,"Portsmouth, UK"
New Hampshire,2,Danville CA
New Hampshire,3,"Madbury, NH"
New Hampshire,7,"Durham, NC"
New Hampshire,2,"Farmington Hills, MI"
New Hampshire,1,Glen Burnie
New Hampshire,1,"Rochester, Michigan"
New Hampshire,3,"Hampton Roads, Virginia"
New Hampshire,6,Jacksonville
New Hampshire,2,Kingston ontario Canada
New Hampshire,6,"Madison, WI"
New Hampshire,2,Lees Summit
New Hampshire,1,"Effingham, IL"
New Hampshire,1,"Union City, CA"
Maine,156,"New York, NY"
Maine,2,"Brunswick, Ohio"
Maine,1,Denmark
Maine,3,"Harrison, New York"
Maine,22,"Long Island, NY"
Maine,8,"Naples, FL, Boston, MA"
Maine,1,scarborough ontario canada
Maine,1,pensacola
Maine,1,"Waterford, MI"
Maine,1,"Westbrook, CT"
Maine,16,"Portland, OR"
Maine,1,Canton Mass
Maine,1,"Raleigh-Durham, NC USA"
Maine,1,"East Hanover, NJ"
Maine,11,Mexico City
Maine,4,"Stavanger, Norway"
Maine,8,Bruxelle-Paris-Marseille-(BPM)
Maine,4,"Waynesville, OHIO"
Maine,2,Gdansk / Manchester
Maine,3,Richmond BC
Maine,3,"Vienna, VA"
Maine,1,"Bangor, Maine, USA"
Maine,1,Abbotsford
Maine,5,"Aurora, OH"
Maine,4,"Dallas, Burlington, Boston"
Maine,4,"Carmel, IN"
Maine,11,"Charleston, SC"
Maine,2,Birkenhead upon Hudson
Maine,1,Lee's Summit
Maine,9,"Orlando, FL "
Maine,1,"Springfield, MA"
Maine,5,"Stillwater, MN"
Maine,4,"Winnipeg, Manitoba"
Maine,2,"Newcastle, Uk"
Maine,63,"Washington, D.C."
Maine,1,key west to bar harbor
Maine,1,"Brooklin, New York"
Maine,1,"Franklin, Tennessee"
Maine,1,"Phila, Princeton, NYC. "
Maine,1,"Austin, TX (Easton, PA born)"
Maine,1,"Sherman Oaks, CA"
Maine,4,"Stockholm, Sweden "
Maine,2,"Branson, MO"
Maine,1,Omagh/Belfast
Maine,1,Binghamton University 
Maine,8,"Cambridge, MA, USA"
Maine,5,Finn between Detroit & Toledo
Maine,1,"Fairfield, Connecticut"
Maine,1,"Farmington, Utah"
Maine,3,"Liberty Lake, WA"
Maine,5,"Madison, NJ"
Maine,2,Buffalo/Oakland/Savannah/Ire
Maine,1,Bedford 2015 Plymouth 2019
Vermont,1,"Brownsville, Tx"
Vermont,1,"west hartford, connecticut"
Vermont,1,plymouth 
Vermont,2,Long Island/Westchester
Vermont,1,Weston super Mare
Vermont,3,Arlington VA
Vermont,1,"Manchester,CT"
Vermont,5,"Jacksonville, FL"
Vermont,5,South jamaica.. Queens
Vermont,9,"Stamford, Ct"
Vermont,1,"Vernon Hills, IL"
Vermont,3,"Wilmington, Delaware"
Vermont,3,btv
Vermont,4,"Burlington, Vermont"
Vermont,1,Cambridge MA
Vermont,16,"Charlotte, NC"
Vermont,2,"Fairfax, VA
"
Vermont,1,"fairfield county, connecticut"
Vermont,2,"Monkton, Maryland "
Vermont,2,@MontgomeryCoMD / SYR / HHI
Vermont,18,"New Haven, CT"
Vermont,2,"Richmond, Virginia"
Vermont,1,Sweden
Vermont,8,johnson city tn
Vermont,53,Washington DC
Vermont,2,"Worcester, MA "
Vermont,1,"Brandon, Mississippi"
Vermont,1,"Killington, Vt"
Vermont,2,"Middlebury, VT"
Vermont,1,"Mount Holly, NC, USA"
Vermont,2,"Pittsford, Vermont"
Vermont,1,"Rochester , N.Y"
Vermont,6,"Albany, NY"
Vermont,1,Greensboro NC
Vermont,7,New Orleans
Vermont,1,Sydney boy in Sheffield
Connecticut,1,"Burlington, Ma"
Connecticut,1,"canton mi
"
Connecticut,1,"Glastonbury, CT"
Connecticut,1,"Berlin, Germany"
Connecticut,2,Stafford VA
Connecticut,2,In First Class
Connecticut,66,"Brooklyn, NY"
Connecticut,4,"Columbia, MO"
Connecticut,2,Detroit - Hampton U.
Connecticut,5,Scotland
Connecticut,2,"Oakdale, CA"
Connecticut,1,"Branford, CT"
Connecticut,1,"West Chester, PA"
Connecticut,2,"Jerusalem, Israel"
Connecticut,3,"Madison, wi"
Connecticut,2,"Newtown, Pa"
Connecticut,1,"Orange County, Ca."
Connecticut,14,"Portland, Maine"
Connecticut,2,"Southbury, CT"
Connecticut,1,"Easton, pa"
Connecticut,3,"Stratford, CT"
Connecticut,1,Clearwater / Bethlehem
Connecticut,10,Kentucky
Connecticut,1,"Morristown, nj"
Connecticut,23,Washington D.C.
Connecticut,2,"darien, il"
Connecticut,5,"Greenwich, CT"
Connecticut,1,"Old Greenwich, CT"
Connecticut,4,"Stamford, CT"
New Jersey,1,"Clifton, NJ"
New Jersey,14,"Hoboken, NJ"
New Jersey,1,"Montclair, NJ"
New Jersey,1,"Orange, CA"
New Jersey,1,NYC/Secaucus 
New Jersey,8,"Jersey City, NJ"
New Jersey,4,"Newark, NJ"
New Jersey,10,Belleville
New Jersey,1,"Elizabeth, PA"
New Jersey,1,"Little Falls, NJ"
New Jersey,1,Oakland by way of Chicago
New Jersey,1,wishing i was in Vernon
New Jersey,4,"Fort Wayne, Indiana"
New Jersey,1,"Paramus, NJ"
New Jersey,3,"Red Bank, NJ"
New Jersey,38,"Philadelphia, PA"
New Jersey,3,"Belmar, NJ"
New Jersey,5,"Atlantic Highlands, NJ"
New Jersey,1,"Eatontown, NJ"
New Jersey,1,"Highlands Ranch, CO"
New Jersey,1,"Keyport, New Jersey"
New Jersey,3,District of Columbia
New Jersey,2,"Hopatcong, NJ"
New Jersey,2,"Lafayette, LA"
New Jersey,1,"Rockaway, NJ"
New Jersey,1,"Vienna, Austria"
New Jersey,12,"washington, dc"
New Jersey,1,"Summit, NJ"
New Jersey,1,"Berkeley Heights, NJ"
New Jersey,1,"West Chester, Pa"
New Jersey,2,"Florham Park, NJ"
New Jersey,1,"Madison, OH"
New Jersey,1,"New Vernon,  NJ"
New Jersey,1,"Beverly Hills, CA"
New Jersey,8,"Birmingham, AL"
New Jersey,1,"Blackwood, NJ"
New Jersey,15,"Columbus, Ohio"
New Jersey,1,Saskatchewan 
New Jersey,1,"Salem, NH"
New Jersey,2,"Lehigh Valley, PA"
New Jersey,1,"Northam Stand, Southampton"
New Jersey,1,"Pennsauken, NJ"
New Jersey,2,"Ocean View, Hawaii"
New Jersey,2,"Lake Buena Vista, Florida"
New Jersey,1,"Leesburg, VA, USA"
New Jersey,1,Lake Norman NC
New Jersey,1,Vineland & South Florida 
New Jersey,2,Atlantic City 
New Jersey,1,"Allentown, PA"
New Jersey,1,"Belle Mead, NJ"
New Jersey,3,"Jacksonville Beach, Florida "
New Jersey,1,"kingston, jamaica "
New Jersey,4,"Beautiful Stockton, CA"
New Jersey,1,"Lakewood, Colorado"
New Jersey,1,South Seaside Park/Puerto Rico
New Jersey,1,dayton ohio
New Jersey,1,"east brunswick, nj"
New Jersey,1,"Edison, NJ"
New Jersey,1,"Porkhampton, England"
New Jersey,1,"Hillsborough, NC"
New Jersey,1,"Houston, Tx & Old Bridge, NJ "
New Jersey,2,Hertfordshire & London
New Jersey,2,somerville nj
New Jersey,1,"New Brunswick, NJ"
US Armed Forces Europe,12,"Minneapolis, MN"
US Armed Forces Europe,1,"Gulfport, MS"
New York,127,New York
New York,3,"Staten Island, NY"
New York,5,"Bronx, NY"
New York,4,Chappaqua NY
New York,5,"Larchmont, New York"
New York,13,bonkers in Yonkers
New York,2,The Garden State
New York,1,Rochester
New York,11,Florida
New York,1,"176 Thomas Johnson Drive, #204"
New York,2,"Port Washington, NY 11050"
New York,1,The Bronx || Inwood
New York,5,"Astoria, OR"
New York,1,"Sunnyside, NY"
New York,23,Brooklyn
New York,2,Corona Del Mar
New York,2,"Forest Hills, NY"
New York,5,Jamaica
New York,2,Long Beach
New York,11,Merrick
New York,2,NYC/RVC/CHS/WASH DC
New York,1,"Roslyn, ny"
New York,2,"Amityville, NY"
New York,1,Bay Shore NY
New York,4,"Brentwood, CA"
New York,1,"Levittown, Pa"
New York,1,"Ronkonkoma, NY"
New York,2,Wading River
New York,5,#ManorvilleInExile
New York,4,Blue Ridge High School
New York,2,Amsterdam
New York,1,"Johnstown, Ohio"
New York,4,"Knoxville, TN"
New York,10,Maryland
New York,2,"Tampa / St Petersburg ,Florida"
New York,1,"Lee's Summit, MO, @CityOfLS"
New York,1,"Alvechurch, Worcestershire, UK"
New York,1,"Albany,NY"
New York,6,"Sacramento, CA"
New York,3,"Bloomington, IL"
New York,37,"Denver, CO"
New York,2,lexington KY
New York,1,"Germantown, MD"
New York,1,"Hudson, NH"
New York,1,Montgomery Al
New York,1,"Poughkeepsie,NY-Manayunk,PA"
New York,1,"Ferndale, MI"
New York,4,Harrisburg
New York,1,"Cambridge, Massachusetts"
New York,1,The Hague
New York,1,Hampton Roads
New York,1,"Winston Salem, NC"
New York,5,Saratoga Springs
New York,1,"Plattsburgh, New York"
New York,3,"Lewis Center, OH"
New York,1,"wilmington, nc"
New York,1,ClayCo ATL
New York,17,"Cleveland, OH"
New York,2,Fayetteville North Carolina
New York,7,"Liverpool, UK"
New York,17,"Memphis, TN"
New York,1,Meridian ID
New York,5,"Albuquerque, New Mexico"
New York,1,"Lake Oswego, Oregon"
New York,12,"Phoenix, AZ"
New York,1,"Chicago--Savannah--Atlanta, GA"
New York,3,Syracuse
New York,2,"Bavaria, Germany"
New York,1,"Martinsburg,WV"
New York,1,Canton MA
New York,1,"Helena-West Helena, AR"
New York,1,"Henderson,NV"
New York,1,"Madrid, EspaÃ±a"
New York,13,Philadelphia
New York,1,"Potsdam, NY"
New York,1,"Redwood City, CA"
New York,1,New Delhi
New York,1,Kirkwood Missouri
New York,8,Maine
New York,2,By mile 3 of the NYC Marathon
New York,5,"Akron, Ohio"
New York,62,Boston
New York,2,Brantford
New York,1,"Centerville, TN"
New York,3,Ft Collins 
New York,11,Fort Lauderdale
New York,1,"Dayton, Ohio"
New York,2,"Gainesville, Fl"
New York,2,"Grand Island, Nebraska, USA"
New York,2,Irving Texas
New York,3,"Lockport, NY"
New York,1,North Tonawanda
New York,1,"Orchard Park, NY"
New York,2,Cleveland/Sandusky
New York,2,Tonawanda NY
New York,11,"Buffalo, NY"
New York,1,"Bergen, Norway"
New York,1,"G-Town, Geneva NY"
New York,1,"Hilton Head, SC"
New York,1,Honeoye Falls
New York,1,"Lexington, Kentucky"
New York,3,"Lima, OH"
New York,4,"Livonia, MI"
New York,1,"Morton, IL"
New York,1,"Naples, Fl"
New York,4,"Newark, DE"
New York,8,"Toronto, Ontario, Canada"
New York,1,"Providence, Rhode Island"
New York,1,"Roseville, CA"
New York,2,Downtown Victoria
New York,1,between Warsaw and London
New York,1,Williamson West Virginia
New York,96,New York City
New York,45,"Nashville, TN"
New York,1,Belfast/Boston
New York,1,Leon. De los aldamas
New York,1,"Olean, NY"
New York,1,"ohio,panama"
New York,6,"Portland, Oregon"
New York,1,"Stockton, CA"
New York,1,"Queenstown, MD"
New York,25,"Atlanta, GA"
New York,1,"Campbell, CA"
New York,1,Proud to say I'm from Dundee
New York,2,Wandering So-Cal-ian
New York,3,Huntsville AL USA
New York,2,"Ithaca, NY"
New York,3,"Jacksonville Beach, FL"
New York,2,East Lansing
New York,2,"Waynesboro, VA"
New York,5,"Elmira, NY"
Pennsylvania,1,"Cambridge, Ma"
Pennsylvania,4,Beavercreek Ohio
Pennsylvania,1,"Wexford, PA"
Pennsylvania,1,"South Park, Pa"
Pennsylvania,6,Pittsburgh
Pennsylvania,4,"Washington, DC via Boston"
Pennsylvania,1,"Greensboro, NC"
Pennsylvania,1,Tampa FL & Hendersonville NC
Pennsylvania,1,"Old Hickory, TN"
Pennsylvania,35,"Houston, TX"
Pennsylvania,19,California
Pennsylvania,5,Any Martin Luther St.
Pennsylvania,4,The Republic of Texas
Pennsylvania,2,"Boynton Beach, FL"
Pennsylvania,4,Orleans/Tarpon Springs/London
Pennsylvania,1,VFILES DJ CHAMPION
Pennsylvania,2,"Hutchinson, KS"
Pennsylvania,1,Mammoth Lakes 
Pennsylvania,14,Pennsylvania
Pennsylvania,15,United States
Pennsylvania,11,Indianapolis
Pennsylvania,2,"Pirate Isle, Arcadia"
Pennsylvania,3,"Off: NYC, Home: Hoboken, NJ"
Pennsylvania,1,Ohio & Kentucky
Pennsylvania,1,"Belton, Tx"
Pennsylvania,2,Eau Claire
Pennsylvania,4,"Parkersburg, WV"
Pennsylvania,2,Edinburgh
Pennsylvania,1,violet crown
Pennsylvania,1,Castellon & Daytona Beach FL
Pennsylvania,4,Knoxville
Pennsylvania,1,Cranberry 16066/Bonita Springs
Pennsylvania,12,Irvine
Pennsylvania,1,"Reno, NV, USA, Earth, Sol"
Pennsylvania,32,Logan International Airport
Pennsylvania,13,"Columbus, OH"
Pennsylvania,8,"Salt Lake City, UT"
Pennsylvania,1,"Springboro, Ohio"
Pennsylvania,2,"Erie, PA"
Pennsylvania,13,"Alexandria, VA"
Pennsylvania,7,Nashville by way of New York
Pennsylvania,4,Glasgow
Pennsylvania,1,St. Petersburg
Pennsylvania,8,"Queens, New York"
Pennsylvania,1,"Williamsburg, VA"
Pennsylvania,7,North Hollywood
Pennsylvania,64,"Austin, TX"
Pennsylvania,3,"Spokane, Washington"
Pennsylvania,1,Dixie State College
Pennsylvania,1,"Albany, New York"
Pennsylvania,1,Gainesville GA
Pennsylvania,8,Southeastern Pennsylvania USA
Pennsylvania,5,"Fredericksburg, VA"
Pennsylvania,1,"Halifax, Nova Scotia"
Pennsylvania,1,"Hershey, PA "
Pennsylvania,3,Liverpool
Pennsylvania,4,New Mexico
Pennsylvania,4,"Mill Creek, WA"
Pennsylvania,1,"Honolulu, Hawaii"
Pennsylvania,1,Glasgow / Scotland
Pennsylvania,31,"New York, New York"
Pennsylvania,2,"Bartlesville, OK"
Pennsylvania,2,"Columbia, SC"
Pennsylvania,14,Denver
Pennsylvania,3,Singapore
Pennsylvania,3,"Pony Paradise, VA"
Pennsylvania,4,Silver Spring
Pennsylvania,1,"Williamsport, Pa"
Pennsylvania,1,"north bend, wa"
Pennsylvania,3,Bentonville  Arkansas
Pennsylvania,1,"Herndon, VA"
Pennsylvania,2,Sacramento
Pennsylvania,5,West Palm
Pennsylvania,5,"Gilbert, AZ"
Pennsylvania,5,"Portland, Orygun"
Pennsylvania,1,The Road to Damascus
Pennsylvania,1,"Forest City, IA"
Pennsylvania,54,"Dallas, TX"
Pennsylvania,2,"Falls Church, VA"
Pennsylvania,4,brooklyn
Pennsylvania,2,Jacksonville Florida
Pennsylvania,1,ig; tannersayre
Pennsylvania,2,"Dublin, Ireland "
Pennsylvania,2,"Forest Grove, OR"
Pennsylvania,2,Cheltenham
Pennsylvania,2,Philadelphia Suburbs
Pennsylvania,1,Where Music meets Visual Media
Pennsylvania,2,"Wayne, NJ"
Pennsylvania,7,"Havertown, Pa."
Pennsylvania,1,"Berwyn, PA"
Pennsylvania,2,Southeastern United States
Pennsylvania,1,"Frederick, MD"
Pennsylvania,2,"Phoenixville, PA"
Pennsylvania,1,"Bechtelsville, PA"
Pennsylvania,1,"Robesonia, PA"
Delaware,1,where the Bulls/Bears play.
Delaware,1,"Newark, Ohio"
Delaware,1,"Wilmington, NC"
Delaware,20,Houston
Delaware,9,"Lewes, DE, USA"
"Washington, D.C.",3,"Washington, D.C. "
Virginia,1,Aldie va
Virginia,1,Manassas VA
Virginia,1,"Centreville, VA"
Virginia,5,new orleans
Virginia,2,Paris
Virginia,6,"Purcellville, VA"
Virginia,3,"Ashburn, VA"
Virginia,1,"Leesburg, VA"
Maryland,3,Bushwood
Maryland,11,"Los Angeles, California"
Maryland,1,COMPTON/AZ
Maryland,2,"Hollywood, CA"
Maryland,3,"Ocean Ridge, FL"
Maryland,2,"Midlothian, Virginia"
Maryland,1,"Brentwood, Tennesse, USA"
Maryland,1,From Capitol Heights With Love
Maryland,3,"College Park, MD"
Maryland,2,"North Bethesda, MD"
Maryland,1,"Rockville, Maryland"
Maryland,1,Bahhhston.
Maryland,1,MA // Ashton in Wonderland
Maryland,1,"Kensington, MD"
Maryland,1,"Silver Spring, MD"
Maryland,1,Aberdeen
Maryland,1,"Ellicott City, Maryland"
Maryland,1,"West Columbia,SC"
Maryland,1,"Grand Forks, ND"
Maryland,2,"Kingsville, TX"
Maryland,3,"Crofton, Maryland"
Maryland,1,"Pasadena, CA"
Maryland,7,Phoenix AZ
Maryland,2,Wall Street â¢ Manhattan â¢ NYC 
Maryland,16,"Baltimore, MD"
Maryland,4,"Brooklyn, NY and all over."
Maryland,1,"Annapolis, MD USA"
Maryland,1,"Bloomington, MN"
Maryland,1,luke.asper@gmail.com
Maryland,1,"Midlothian, TX
"
Maryland,1,"oakland , ca"
Maryland,1,"Cambridge, MA, USA, Earth"
Maryland,1,"Denton County, Texas"
Maryland,2,"Goldsboro, NC"
Maryland,3,Trapped in Baltimore.
Maryland,1,"Mount Airy, NC"
Maryland,1,"Woodsboro, TX"
Maryland,4,"Allen, TX"
Maryland,1,Newark NJ 
Maryland,19,Colorado
Virginia,3,"Dumfries, Virginia"
Virginia,2,"Research Triangle Park, N.C."
Virginia,2,Arlington Virginia
Virginia,6,Fort Myers
Virginia,2,"alexandria, va"
Virginia,29,New Jersey
Virginia,2,"Kilmarnock, now Edinburgh. "
Virginia,1,"East Village, New York City"
Virginia,1,Warsaw
Virginia,3,"Bentonville, Arkansas"
Virginia,7,"Boston, Austin, Kansas City "
Virginia,1,soundcloud.com/ibhoody 
Virginia,1,"Monterrey, Nuevo Leon"
Virginia,3,"Brevard, NC"
Virginia,3,WashingtonDC
Virginia,8,"Charlottesville, VA"
Virginia,1,Orange County
Virginia,8,Arkansas
Virginia,1,"Columbia, Mo."
Virginia,1,JAMAICA&USA
Virginia,1,"midlothian, tx"
Virginia,8,Blue Area of the Moon
Virginia,12,Northern Virginia
Virginia,1,"Portland, Zurich, Richmond"
Virginia,8,"Wake Forest, NC"
Virginia,2,Chesapeake Bay watershed
Virginia,2,"Suffolk County, New York"
Virginia,4,"Virginia Beach, VA"
Virginia,1,Kanasa City
Virginia,1,Portsmouth UK
Virginia,4,"Innisfail, Alberta"
Virginia,5,"Rossford, Ohio"
Virginia,1,"Victoria, BC, Canada"
Virginia,1,â Check â out â my blog â
Virginia,2,Dublin Raised | Brooklyn Based
Virginia,1,New River AZ
Virginia,1,"Pilot Point, Republic of Texas"
Virginia,1,Radford HS
Virginia,1,"Rocky Mountains, Colorado USA"
Virginia,1,"Winston Salem, NC, USA"
Virginia,2,Been inside your mum since '92
Virginia,11,"Cleveland, Ohio"
Virginia,1,saint paul
Virginia,15,"Ottawa, Canada"
Virginia,4,eating curly fries w/ the wife
Virginia,7,A galaxy far far away
Virginia,2,"Independence, MO"
Virginia,2,"Lexington, Ky"
Virginia,1,"Clover, SC"
Virginia,3,Glasgow via Cork
Virginia,16,Long Island - Arizona 
Virginia,1,"Sutherlin, Oregon"
Virginia,1,Ravens Nation  51814
West Virginia,4,Buda Texas
West Virginia,6,"Little Rock, AR"
West Virginia,1,Calgary AB Canada
West Virginia,3,Hogwarts
West Virginia,23,Belle MO
West Virginia,8,Buffalo
West Virginia,3,"Costa Mesa, CA"
West Virginia,7,"Salt Lake City, Utah"
West Virginia,30,London
West Virginia,11,Miami
West Virginia,6,"Ottawa, ON"
West Virginia,7,Dodger Stadium | Disneyland
West Virginia,13,"Vancouver, WA"
West Virginia,3,"Evanston, IL"
West Virginia,4,Left hand seat in flightdeck
West Virginia,1,"Norman, OK"
West Virginia,1,Charleston/Houston
West Virginia,5,Arizona
West Virginia,1,"Scott Depot, WV"
West Virginia,2,Fort Wayne
West Virginia,3,Logan.Utah
West Virginia,1,"San Bruno, CA"
West Virginia,8,"Denver, Colorado"
West Virginia,4,Germany
West Virginia,1,scrummy hooker 
West Virginia,1,Brawley
West Virginia,1,Bushmansted
West Virginia,1,"Beaverton, OR"
West Virginia,5,"Redmond, WA"
West Virginia,1,"Port au Prince, Haiti"
West Virginia,28,"Raleigh, NC"
West Virginia,23,"Dallas, Texas"
West Virginia,1,the friendly skies
West Virginia,3,washington dc
West Virginia,2,Cleveland
West Virginia,8,Indiana
West Virginia,1,Vancouver/Beverly Hills
West Virginia,1,Mill Creek HS
West Virginia,2,Ireland
West Virginia,5,Orlando
West Virginia,3,Kingwood
West Virginia,3,South Carolina 
West Virginia,2,Blackpool
West Virginia,3,"Delray Beach, FL"
West Virginia,7,"Ontario, Canada"
North Carolina,2,lurking in a coffeehouse
North Carolina,1,senior / mount airy
North Carolina,2,Barcelona
North Carolina,7,The Netherlands
North Carolina,1,"gulf coast, FL"
North Carolina,1,pittsburgh pa
